,sentence
0,the guide to receptors and channels has contributed to the  development and maintenance of the intellectual infrastructure of  pharmacology
0,the key tools it provides have influenced appropriate  identification of lead drug targets and how best to study them and as a  result it has received endorsement and financial support from the  pharmaceutical industry
0,it is used widely as a teaching aid for  undergraduates and research postgraduates and provides the general public  with accurate information on prescription drug action
2,it led to the  formation of the guide to pharmacology website in collaboration with the  international union of basic and clinical pharmacology
0,the cardiff osteological research group corg has researched the complex relationship between animals and people across britain europe and beyond
0,corg has taken its research as the basis for a programme of activities that seeks to challenge modern attitudes to animals through archaeological studies and to provoke reflection on the present relevance and future development of animals
0,their impact has built on relationships developed with artists and practitioners in creative industries who have been influenced by the issues researched
0,by encouraging a range of audiences to consider the economic social ritual and symbolic roles of animals corg has enriched informed and changed the perspectives of individuals who do not normally engage with the archaeological past including target groups traditionally excluded from or not aware of academic research
0,professor hutchinson s team has pursued research into movement of large  land animals and how  they have evolved under biomechanical constraints such as gravity which  dominate their  lifestyles
0,their findings relating to elephants and to dinosaurs  applying physics maths and  computer science to study the natural world have captured the public s  imagination through a  variety of engagement activities
0,the work has contributed to several  major documentaries and  interactive museum exhibits  with professor hutchinson consulting  as  well as featuring in a  substantial number of print and online news stories
1,the research has had  practical applications in  foot health and welfare of elephants in captivity and through examining  constraints of growth on  anatomy has also led to applications in health of broiler chickens
0,material has been prepared for the institute of physics iop to  disseminate freely to universities worldwide who wish to incorporate  material into the undergraduate physics curriculum
0,donald was invited to  lead this project  8212 funded by the iop  8212 as project director on the basis  of her research at the university of cambridge and leadership in the  field
0,beyond oversight of the teaching material and producing one lecture  herself she has been active in disseminating the challenges and  excitement of the field to a wide range of audiences beyond academics  through talks and online
0,this material is being accessed worldwide by  many different universities
0,within the uk a number of universities are  either using the course material directly or indirectly in their lecture  course development or are pointing students to the website as an  additional resource
0,this research programme has provided convincing evidence that fish  perceive pain and has been instrumental in directly informing changes to  experimental protocols and influencing welfare guidelines
0,we use fish in a variety of ways  8212 for food farming experimentation as  public exhibits in recreational angling and as pets
0,many of the  procedures that fish are subjected to cause tissue damage that would give  rise to the sensation of pain in mammals
0,this research programme uses  techniques in neurobiology physiology and animal behaviour to discover  how the fish are affected by these procedures
0,this has not only improved  the welfare of fish but also influenced how the public views these  animals through media dissemination
0,research conducted by the biological sciences research group on sexual  selection using bushcrickets as model organisms has attracted a very  high level of media interest and has contributed to public engagement with  science
0,evidence for this is provided by a considerable number of review  articles on the research in the media
0,there is also evidence of public  debate through social media such as twitter blogs sharing of articles  and individual comments on web articles about the research
0,through the publication of three books based on his original research  written for a non specialist audience and through an extensive schedule  of public engagement work dr nick lane ucl department of genetics  evolution and environment has enhanced public awareness of relatively  little known areas of science evolutionary biochemistry and cell  biology  stimulating discussion and debate in a wide range of media
0,his  books have been translated into 20 languages and have sold around 100 000  copies since 2008
0,they have had significant societal impacts such as  inspiring young people to study biological sciences raising public  awareness of research being undertaken in this field and stimulating  debate and interest in the subject area
0,this case study focuses on the impact of work underpinned by professor  hart s  entomological research and includes the major bbc and discovery science  channel  documentary planet ant life inside the colony a children s  version living on planet ant  both presented by hart and subsequent secondary impact through two  citizen science  projects
0,together these projects have considerably raised public  awareness and  understanding of ants and their importance
2,planet ant has reached  a domestic audience  in excess of one million via tv a large international tv audience more  than 0 6 million via  youtube and was widely and positively reviewed in the national press
2,activities arising from the programme included a debate session on the  importance of ants  at the cheltenham science festival 10 weeks of public viewing and  guide led  interpretation of the ant colony at the glasgow science centre and  national and  international magazine articles
0,planet ant led to hart s central  involvement with two large  citizen science projects run jointly between him and the uk s society of  biology
0,widely  featured in the national press and radio these have actively engaged more  than 20 000  members of the public in primary scientific research including some 3 500  super  engagers who have sent on more detailed records and samples
0,indeed one  of these  projects has been selected by the rcuk for their concordat anniversary  publication as a  case study to demonstrate the impact of public engagement
2,impact public engagement and education influence on public  ethical and scientific policy
0,significance the first demonstration of cloning from an adult  mammalian somatic cell has stimulated rolling religious ethical  cultural political and scientific debates
0,dolly has become a scientific  icon entering the public and educational lexicons in addition to  scientific ones
0,beneficiaries human society culture education
0,attribution wilmut and colleagues roslin institute uoe   undertook somatic cell nuclear transfer and used it to perform the first  successful cloning of an adult mammal
0,reach worldwide dolly became a scientific icon that is  recognisable all around the world representing a major public engagement  with bioscience
0,for example cloning principles are part of high school  education including the international baccalaureate implemented in  gt 3600 schools on five continents
0,impact on society culture and creativity health and welfare   practitioners extensive public engagement with a broad target  audience has increased understanding of the hopes and hypes generated by  stem cell research at uoe and elsewhere and has provided resources for  practitioners to deliver high quality public engagement and science  education
0,beneficiaries educators teacher trainers science communicators  journalists patients students officials in the european commission the  european parliament and by extension constituents
0,significance and reach this programme has promoted informed  decision making among non specialists and public acceptance of stem  cell based research and future therapies in europe compared for instance  to the usa
0,the project is focused on europe but participation is  world wide
0,767 000 unique visitors have accessed the www eurostemcell org  website
0,the educational tools have been used by 11 000 pupils and  engaged 20 100 participants at festivals and science centres
0,more than  740 000 individuals world wide have viewed the films  gt 240 000  confirmed online film showings and dvd estimated gt 500 000 tv  audience
0,attribution the programme reflects a range of stem cell research  substantially based on underpinning research carried out at uoe led by  professors austin smith and ian chambers
0,the outreach programme is led by  professor clare blackburn
0,leadership management content identification  content format editorial input and evaluation of the outreach programme  are all led at the university of edinburgh
2,impact public policy and public engagement public awareness  towards gm animals
0,significance the chicken industry is worth  163 2 billion per annum  in the uk alone
0,gm technology  offers increased productivity biosecurity and welfare as well as  biotechnology applications in  production of protein therapeutics
0,realization of this technology  requires public acceptance
2,beneficiaries general public applied researchers pharmaceutical  industry poultry breeding  companies attribution work performed by professor sang dr clinton roslin  institute now part of uoe reach international the work has been used to advise on policy  for the usa fda and  european food safety agency
0,as a further example professor sang s our  changing world  lecture has been viewed 1054 times across multiple countries
2,two areas of impact are described  i impact associated with increased national and international public  understanding of science via extensive national and international media  coverage and the development of an interactive website www blacksquirrelproject org   designed to engage members of the public and to explain genetic concepts
0,media exposure has reached an estimated 45 million people in the uk alone
0,ii  impact associated with increased public participation in science   citizen science  by seeking the involvement of the public to use the  interactive website to report on squirrel populations thus providing a  research tool to generate data and to inform the public
0,this case study focuses on three science art collaborations primitive   streak wonderland and catalytic clothing catclo  undertaken since 1997 by professor helen storey
0,storey s work is  genuinely collaborative spanning arts sciences and new technology  fields and produces projects which illuminate aspects of science and  well being in ways that engage with the public communicate complicated  concepts and demonstrate the potential of science in an innovative and  accessible manner
0,the projects have reached huge audiences and have made  a significant contribution to raising public awareness of science and  issues faced by society
0,research undertaken at canterbury christ church university cccu studied  habitat enrichment in captive coyotes with the national wildlife research  center in utah  and herd composition of donkeys horses and mules with  the donkey sanctuary
0,these studies observed social and environmental  interactions addressing important welfare indicators in gregarious  species
0,the work identified welfare issues in both sites and provided the  necessary evidence to allow improvements to be made
2,specifically this research has 1  led to changes in the husbandry practice and policy in both partner  institutions that have improved animal welfare 2 improved how the donkey sanctuary trains international partners and  undertakes welfare education
0,young adults are a notoriously difficult group to engage in science  education  8212 but how do they  react to a theoretical zombiologist from the university of  glasgow s zombie institute for   theoretical studies zits
0,using an innovative platform to target  the delivery of complex  biomedical science to young people the zombie science comedy show has  effectively engaged  more than 26 000 young people and adults at more than 300 events touring  festivals and  secondary schools around the uk
0,more than 90% of the audience members  indicated that they  had learnt something new about biosciences from the show
0,the show has  received positive  enthusiastic reviews  8212 lifting science from the pages of a textbook and  bringing it literally back to  life
0,by putting public engagement at the heart of our deep sea research we  have delivered benefits to society of generating inspiration and   curiosity about science raising public awareness of our   research insights and their context and providing cultural   enrichment by supporting lifelong learning
0,we have achieved these  impacts through interactions with print online and broadcast media that  have brought our research to millions series of talks and events that  have inspired specific audiences of tens of thousands and a network of  interactive online resources that has enabled people worldwide to share in  our exploration of deep ocean environments and their biodiversity
2,dr ceri lewis research expeditions to the canadian high arctic to  investigate impacts of ocean acidification have informed educational  material introducing oceans education to schools both nationally and  internationally
2,lewis worked with digital explorer a non profit  organisation to provide free lesson plans and multi media resources on  ocean acidification and arctic climate change to classrooms both  nationally and internationally
0,the resulting education resources  informed by ceri s fieldwork are already being used by 1 225 uk secondary  schools i e
0,30% of secondary schools in the uk  reaching over 658 000  pupils within the first year of being launched
0,these school resources are  also being used internationally including a training programme in alaska  and outreach examples across europe
0,the bumblebee conservation trust bbct  a conservation charity launched  at the university of stirling in 2006 was aimed at bridging the gap  between research findings and conservation practice
0,bbct now has 11  staff offices and staff based in england wales and scotland 8 000  paying members and has involved gt 12 000 people in bumblebee recording  or conservation
2,other impacts include awareness raising through extensive  media coverage for bumblebee conservation creation of an education pack  for primary schools joint initiatives with a nationwide garden centre  chain wyevale and a supermarket morrisons  helping to create gt 2 000  ha of flower rich habitat involvement in a reintroduction attempt for the  locally extinct short haired bumblebee political lobbying and influencing  national and international policy
0,drawing upon her monograph and other wellcome trust supported publications on the norwich great hospital rawcliffe provided the material for a website www thegreathospital ac uk designed to bring this unique institution to the attention of a wider public and to enable the hospital s trustees to promote and preserve their grade one listed buildings
0,of the various english medieval hospital to have survived the dissolution of the monasteries this is the only one that continues to discharge a charitable function to the present day with its archives and fabric almost intact
0,through the ahrc knowledge catalyst scheme and in partnership with the trustees of the great hospital and the norwich heritage and regeneration trust heart  over  163 26 800 was raised for the creation of an online resource complete with video models to interest and inform schools tourists local history groups and to bring the hospital s unique attraction to the attention of the general public
0,the project has reached an international audience and has contributed significantly to unesco recognition for one of norwich s iconic buildings
0,reducing youth anti social behaviour and raising young people s educational aspirations are international priorities
2,research carried out by the university of greenwich has provided the basis for policy development on participation in higher education and has informed policy makers views about and practitioners work on anti social behaviour in schools in the uk and more widely
0,the impact through partnerships with a local authority and a charity are also described involving use of an assessment toolkit called the emotion behaviour aspiration toolkit ebat to address factors that limit the aspirations and social mobility of young people
0,the work is located in the university s research centre for children schools and families which has become a centre for research on anti social behaviour http  www2 gre ac uk about schools health research healthsocial ccsf
2,transitional justice institute s tji work on gender conflict and  transition demonstrates remarkable international impact showing effects  and benefits to institutional norms and policies civil society  positioning and legal enforcement at the state level
2,knowledge transfer  provided by tji research has influenced policy and legal change in the  regulation of gender norms in conflict and post conflict settings
2,debates  triggered by tji scholarly outputs have shaped policy agendas and critical  responses to them
2,the impact is regional national and international
0,this case study demonstrates that the transitional justice institute  tji peace process research has substantially impacted on key  stakeholders in multiple conflicted and post conflict states
2,impacts  include developing sustained relationships with public officials to inform  policymaking making recommendations for legal changes capacity building  with local non governmental organisations ngos on peace process issues  and addressing conflict related abuses informing public debate and  raising awareness of international and comparative legal standards among  local judiciaries subsequently applied in their work
0,impacts have  benefited a range of users and contributed to growing sensitivity to  victims needs in conflict resolution
2,dr kate bedford s work has demonstrated the limits of existing frameworks for addressing gender and sexuality in development policy and has had a significant impact in four main ways
