,title,sentence,sentiment,score
1026,informing rights based challenges to mainstream policy responses to   human trafficking,o connell davidson s pioneering research delivered the first systematic  study of the demand for prostitution and domestic work and contested  mainstream policy responses to human trafficking childhood and migration,negative,-0.128
1497,reshaping resilience practices a co production approach,collaborative research with practitioners parents and young people has  led to the development of resilient therapy rt a new approach to  building resilience in disadvantaged families,negative,-0.4019
1002,the big picture show depictions of truce at the imperial war museum,second a big picture   show bps  part of the rolling programme at the imperial war museum  north iwmn,negative,-0.5994
183,how the development and application of techniques for assessing the   payback or impact from health research informs policies to support   health research,second  many stakeholders made extensive use the findings of payback studies in  public debate and private lobbying for public expenditure on health  research,negative,-0.0772
1262,bullying cyberbullying and e safety in children and young people the  impact of research by the unit for child and youth studies york st john  university,research has shown that being a victim of bullying can have serious  and long term  negative effects on psychological well being hawker amp boulton 2000,negative,-0.836
1190,changing the way we think about women and men in disasters the gender  and disaster network,gender analysis is now routinely incorporated in training for disaster  management and risk reduction and this is seen in official un documents  for example the guidance published in 2009 making disaster risk reduction  gender sensitive policy and practical guidelines for which fordham was a  contributor,negative,-0.9081
1596,improving employee well being through diagnosis intervention and   evaluation of policy and practice,kinman has advised organisations predominantly in the public  sector on ways to manage stress and enhance work life balance and  resilience,negative,-0.4215
1563,improving adoption services removing the disincentive of the  inter agency fee,selwyn s work led to  positions as academic advisor on the government s expert working group on  adoption advisor to the treasury member of no 10 s policy group and she  gave written and oral evidence to the house of lords and house of commons  select committees as part of the adoption reform,negative,-0.1027
1745,human rights and older people,it demonstrates the impact that his published works and  conference presentations have on policy makers and practitioners when  responding to cases of suspected elder abuse within domestic and  residential settings,negative,-0.7269
20,informing global improvements on the welfare of fish,this research programme uses  techniques in neurobiology physiology and animal behaviour to discover  how the fish are affected by these procedures,negative,-0.1531
2215,africa s girls promoting equality and empowerment,the studies  reach has additionally extended beyond africa influencing many other  countries thinking on girls  education and two house of commons inquiries into the post 2015 millennium  development goals  and violence against girls and women,negative,-0.6124
1469,enhancing support for young carers and families affected by hiv,university of reading research has raised awareness of a group that is  often overlooked in policy  and practice young carers and families affected by hiv,negative,-0.1779
1820,humanitarian migration management migrant young people in the global sex  industry,professor nick mai researched the mobilities and vulnerabilities of young  men women and transgender people including minors working in the sex  industry in the uk eu and internationally,negative,-0.1531
