,sentence
0,notably lncrnas are known to coordinate aggressive phenotypes of several common tumors including breast cancer and prostate cancer 3 4
1,given these complexities a general framework for hypothesis testing embedded in the model selection procedure is not provided here
2,it has been proposed that tumors with similar molecular phenotypes also share similar underlying pathophysiological mechanisms
3,we also excluded an additional patient for whom er status was not available
4,although our report does not address the expression of trail receptors we cite a paper that demonstrated the upregulation of the death receptors dr4 and dr5 in trail resistant pc3 and lncap prostate cancer cells by sulforaphane which enhanced trail induced apoptosis in vitro and in orthotopically growing pc3 xenografts transplanted into the prostate gland of immunodeficient mice 8
5,psa response psa response is depicted as a waterfall plot in figure 3 for each treatment arm
6,enhance the capacity of prostate cancer cell migration and invasion with a significant increase in snail expression
7,all benign glands were examined for pca3 expression
8,data show representative scatterplots and corresponding list of genes significantly altered by expression of lsr
9,after heat induced epitope retrieval the slides with tissue sections were allowed for 30 minutes to cool at room temperature
10,numbers in parentheses are percentages
11,the 64c a mutation results in an amino acid substitution at position 22 from a glutamine q to a lysine k in kras
12,in the combined network all of the nodes are connected
13,data that emerged after this trial completed accrual demonstrated that standard adjuvant combination chemotherapy is superior to capecitabine in patients with early stage breast cancer who are 65 years of age
14,for the ex vivo samples 40ng of cdna synthesized were preamplificated using taqman preamp master mix applied biosystems
15,in order to narrow down any potential involvement of the app icd even further we also examined the role of two cytosolic tyrosine residues within this domain tyrosines682 and 687 the phosphorylation of which might be linked to cell signalling
16,conceived of the idea to measure b cells next to the prostate tumor cells separately from b cells in adjacent benign prostate tissue
17,after 48 h the luciferase activity was analyzed by the dual luciferase reporter assay system according to the manufacture s protocols promega madison usa
18,the two cell lines were shown to display cellular cytotoxicity viability and growth curve patterns that are not significantly different from each other both cell lines showed nearly 50% reduction in cell viability after 48 hour incubation of 75 m of simvastatin figures 1 2 and 3
19,by contrast cells exposed to non cytotoxic concentrations of tfp recovered lysotracker green staining to various degrees over time figure 5c
20,ca cancer j clin62 102922237781 2 petrylakdp tangencm hussainmh larapnjr jonesja et al 2004 docetaxel and estramustine compared with mitoxantrone and prednisone for advanced refractory prostate cancer
21,recurrent tmprss2 erg fusions present in approximately 50% of psa detected prostate cancers result in overexpression of erg protein product 4 810 19
22,non parametric mann whitney test was performed to compare the average score of mlm and methylene blue
23,more than 80% of the specimens tested in this study were small biopsy specimens
24,in this study we observed that atm rs189037 aa genotype carriers were more susceptible to lung adenocarcinoma than ga or gg genotype carriers in a recessive model
25,competing interests the authors declare that they have no competing interests
26,we also determined whether cyclin e was regulated by pax6 expression
27,a scatter plot and b venn diagram representing classification of mkl1 target genes into three groups
28,considering that there are putative binding sites for snail in both syndecans promoters it is reasonable to suggest an active role for snail in pc malignancy regulation
29,l and the associated co variance matrix
30,identification of brca like tumors among familial non brca1 2 tumors brca1 and brca2 mutation screening technology traditionally include sanger sequencing in combination with mlpa analysis
31,however to the best of our knowledge there have been few reports of pt3n0 patients treated with adjuvant hormonal therapy and more outcome data and accurate information are needed for these patients
32,the corresponding  values and the number of genes called significant are reported with each sam plot
33,involved in writing and editing manuscript
34,the funders had no role in study design data collection and analysis decision to publish or preparation of the manuscript
