id,sentence
34,widely  featured in the national press and radio these have actively engaged more  than 20 000  members of the public in primary scientific research including some 3 500  super  engagers who have sent on more detailed records and samples
35,indeed one  of these  projects has been selected by the rcuk for their concordat anniversary  publication as a  case study to demonstrate the impact of public engagement
36,impact public engagement and education influence on public  ethical and scientific policy
41,reach worldwide dolly became a scientific icon that is  recognisable all around the world representing a major public engagement  with bioscience
48,the educational tools have been used by 11 000 pupils and  engaged 20 100 participants at festivals and science centres
57,beneficiaries general public applied researchers pharmaceutical  industry poultry breeding  companies attribution work performed by professor sang dr clinton roslin  institute now part of uoe reach international the work has been used to advise on policy  for the usa fda and  european food safety agency
70,using an innovative platform to target  the delivery of complex  biomedical science to young people the zombie science comedy show has  effectively engaged  more than 26 000 young people and adults at more than 300 events touring  festivals and  secondary schools around the uk
88,research carried out by the university of greenwich has provided the basis for policy development on participation in higher education and has informed policy makers views about and practitioners work on anti social behaviour in schools in the uk and more widely
92,knowledge transfer  provided by tji research has influenced policy and legal change in the  regulation of gender norms in conflict and post conflict settings
93,debates  triggered by tji scholarly outputs have shaped policy agendas and critical  responses to them
96,impacts  include developing sustained relationships with public officials to inform  policymaking making recommendations for legal changes capacity building  with local non governmental organisations ngos on peace process issues  and addressing conflict related abuses informing public debate and  raising awareness of international and comparative legal standards among  local judiciaries subsequently applied in their work
104,den boer s research into the relationship between extreme gender  population imbalances and state security has shaped public and political  debate within national and international media influenced public policy  and political campaigns and affected the provision of data services  within the organisation   for economic co operation and development oecd
126,as a result enhanced specialised treatment of firesetters is being provided in secure establishments and community settings for the first time
128,this impact case study is based on a body of research that has enhanced  the assessment and treatment of female sexual offenders internationally
131,it has  been used by professionals to enhance their assessment and treatment of  female sexual offenders whose specific needs had not previously been  identified
135,the impacts are two fold   significant and lasting behavioural changes in the 22 participating   autistic children  revaluation of drama and play based methods to promote well being in   autistic children specifically by educational psychologists and   teaching staff at helen allison school the director of research at the   national autistic society and the consultant community paediatrician at   the children s assessment centre kent and canterbury hospital along   with 15 20 of her staff
140,since 2008 the  project has had a direct and significant impact on children s  participation in decision making in norfolk schools as reported by the  teachers and those who attended dissemination conferences and professional  development initiatives and nationally by educators who used the  published report
142,outcomes from  cbr have been shown to increase independence and enhance mobility and  social inclusion of people with disabilities in low and middle income  nations
143,cbr is currently implemented in over 90 countries and has enabled  thousands of disabled children and adults across the globe to receive  rehabilitative care within their own communities
148,a potential policy change concerning disability benefits for older people  received by 2 44 million  over 65s in britain  which would have been based on an incorrect premise  has been avoided  partly as a result of research carried out in the submitting unit
161,research undertaken at the centre for physical activity and health  research within the sport and exercise sciences research institute has  directly contributed to changes in public policy surrounding the health  benefits of exercise and has informed the development of international and  national physical activity guidelines
164,south africa with  5 8 million hiv people and 500 000 newly infected with tuberculosis each  year based its nurse initiation and monitoring of antiretroviral  treatment policy on our training package and trials
167,the case described shows that work reported in the 2008 rae exploring the  information seeking strategies of older users is currently having a direct  and significant impact on government policy in respect of the broad area  of digital inclusion
178,secondly research has been incorporated into practice and  capacity building through projects involving judiciaries advocates  statutory bodies and ngos
185,third governments public research funding bodies and medical  research charities from the uk to australia used the findings from  payback studies to inform decisions regarding the levels and distribution  of health research funding with the aim of increasing the health and  economic benefits that come from investments in research
