id,sentence,label
1,the guide to receptors and channels has contributed to the  development and maintenance of the intellectual infrastructure of  pharmacology,0
2,the key tools it provides have influenced appropriate  identification of lead drug targets and how best to study them and as a  result it has received endorsement and financial support from the  pharmaceutical industry,0
3,it is used widely as a teaching aid for  undergraduates and research postgraduates and provides the general public  with accurate information on prescription drug action,0
4,it led to the  formation of the guide to pharmacology website in collaboration with the  international union of basic and clinical pharmacology,0
5,the cardiff osteological research group corg has researched the complex relationship between animals and people across britain europe and beyond,0
6,corg has taken its research as the basis for a programme of activities that seeks to challenge modern attitudes to animals through archaeological studies and to provoke reflection on the present relevance and future development of animals,0
7,their impact has built on relationships developed with artists and practitioners in creative industries who have been influenced by the issues researched,0
8,by encouraging a range of audiences to consider the economic social ritual and symbolic roles of animals corg has enriched informed and changed the perspectives of individuals who do not normally engage with the archaeological past including target groups traditionally excluded from or not aware of academic research,0
9,professor hutchinson s team has pursued research into movement of large  land animals and how  they have evolved under biomechanical constraints such as gravity which  dominate their  lifestyles,0
10,their findings relating to elephants and to dinosaurs  applying physics maths and  computer science to study the natural world have captured the public s  imagination through a  variety of engagement activities,0
11,the work has contributed to several  major documentaries and  interactive museum exhibits  with professor hutchinson consulting  as  well as featuring in a  substantial number of print and online news stories,0
12,the research has had  practical applications in  foot health and welfare of elephants in captivity and through examining  constraints of growth on  anatomy has also led to applications in health of broiler chickens,0
13,material has been prepared for the institute of physics iop to  disseminate freely to universities worldwide who wish to incorporate  material into the undergraduate physics curriculum,0
14,donald was invited to  lead this project  8212 funded by the iop  8212 as project director on the basis  of her research at the university of cambridge and leadership in the  field,0
15,beyond oversight of the teaching material and producing one lecture  herself she has been active in disseminating the challenges and  excitement of the field to a wide range of audiences beyond academics  through talks and online,0
16,this material is being accessed worldwide by  many different universities,0
17,within the uk a number of universities are  either using the course material directly or indirectly in their lecture  course development or are pointing students to the website as an  additional resource,0
18,this research programme has provided convincing evidence that fish  perceive pain and has been instrumental in directly informing changes to  experimental protocols and influencing welfare guidelines,0
19,we use fish in a variety of ways  8212 for food farming experimentation as  public exhibits in recreational angling and as pets,0
20,many of the  procedures that fish are subjected to cause tissue damage that would give  rise to the sensation of pain in mammals,0
21,this research programme uses  techniques in neurobiology physiology and animal behaviour to discover  how the fish are affected by these procedures,0
22,this has not only improved  the welfare of fish but also influenced how the public views these  animals through media dissemination,0
23,research conducted by the biological sciences research group on sexual  selection using bushcrickets as model organisms has attracted a very  high level of media interest and has contributed to public engagement with  science,0
24,evidence for this is provided by a considerable number of review  articles on the research in the media,0
25,there is also evidence of public  debate through social media such as twitter blogs sharing of articles  and individual comments on web articles about the research,0
26,through the publication of three books based on his original research  written for a non specialist audience and through an extensive schedule  of public engagement work dr nick lane ucl department of genetics  evolution and environment has enhanced public awareness of relatively  little known areas of science evolutionary biochemistry and cell  biology  stimulating discussion and debate in a wide range of media,0
27,his  books have been translated into 20 languages and have sold around 100 000  copies since 2008,0
28,they have had significant societal impacts such as  inspiring young people to study biological sciences raising public  awareness of research being undertaken in this field and stimulating  debate and interest in the subject area,0
29,this case study focuses on the impact of work underpinned by professor  hart s  entomological research and includes the major bbc and discovery science  channel  documentary planet ant life inside the colony a children s  version living on planet ant  both presented by hart and subsequent secondary impact through two  citizen science  projects,0
30,together these projects have considerably raised public  awareness and  understanding of ants and their importance,0
31,planet ant has reached  a domestic audience  in excess of one million via tv a large international tv audience more  than 0 6 million via  youtube and was widely and positively reviewed in the national press,0
32,activities arising from the programme included a debate session on the  importance of ants  at the cheltenham science festival 10 weeks of public viewing and  guide led  interpretation of the ant colony at the glasgow science centre and  national and  international magazine articles,0
33,planet ant led to hart s central  involvement with two large  citizen science projects run jointly between him and the uk s society of  biology,0
34,widely  featured in the national press and radio these have actively engaged more  than 20 000  members of the public in primary scientific research including some 3 500  super  engagers who have sent on more detailed records and samples,1
35,indeed one  of these  projects has been selected by the rcuk for their concordat anniversary  publication as a  case study to demonstrate the impact of public engagement,1
36,impact public engagement and education influence on public  ethical and scientific policy,1
37,significance the first demonstration of cloning from an adult  mammalian somatic cell has stimulated rolling religious ethical  cultural political and scientific debates,0
38,dolly has become a scientific  icon entering the public and educational lexicons in addition to  scientific ones,0
39,beneficiaries human society culture education,0
40,attribution wilmut and colleagues roslin institute uoe   undertook somatic cell nuclear transfer and used it to perform the first  successful cloning of an adult mammal,0
41,reach worldwide dolly became a scientific icon that is  recognisable all around the world representing a major public engagement  with bioscience,1
42,for example cloning principles are part of high school  education including the international baccalaureate implemented in  gt 3600 schools on five continents,0
43,impact on society culture and creativity health and welfare   practitioners extensive public engagement with a broad target  audience has increased understanding of the hopes and hypes generated by  stem cell research at uoe and elsewhere and has provided resources for  practitioners to deliver high quality public engagement and science  education,0
44,beneficiaries educators teacher trainers science communicators  journalists patients students officials in the european commission the  european parliament and by extension constituents,0
45,significance and reach this programme has promoted informed  decision making among non specialists and public acceptance of stem  cell based research and future therapies in europe compared for instance  to the usa,0
46,the project is focused on europe but participation is  world wide,0
47,767 000 unique visitors have accessed the www eurostemcell org  website,0
48,the educational tools have been used by 11 000 pupils and  engaged 20 100 participants at festivals and science centres,1
49,more than  740 000 individuals world wide have viewed the films  gt 240 000  confirmed online film showings and dvd estimated gt 500 000 tv  audience,0
50,attribution the programme reflects a range of stem cell research  substantially based on underpinning research carried out at uoe led by  professors austin smith and ian chambers,0
51,the outreach programme is led by  professor clare blackburn,0
52,leadership management content identification  content format editorial input and evaluation of the outreach programme  are all led at the university of edinburgh,0
53,impact public policy and public engagement public awareness  towards gm animals,0
54,significance the chicken industry is worth  163 2 billion per annum  in the uk alone,0
55,gm technology  offers increased productivity biosecurity and welfare as well as  biotechnology applications in  production of protein therapeutics,0
56,realization of this technology  requires public acceptance,0
57,beneficiaries general public applied researchers pharmaceutical  industry poultry breeding  companies attribution work performed by professor sang dr clinton roslin  institute now part of uoe reach international the work has been used to advise on policy  for the usa fda and  european food safety agency,1
58,as a further example professor sang s our  changing world  lecture has been viewed 1054 times across multiple countries,0
59,two areas of impact are described  i impact associated with increased national and international public  understanding of science via extensive national and international media  coverage and the development of an interactive website www blacksquirrelproject org   designed to engage members of the public and to explain genetic concepts,0
60,media exposure has reached an estimated 45 million people in the uk alone,0
