Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
942,"
    University of Kent and University of Greenwich
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    The Guide to Receptors and Channels: a key tool in the maintenance and
        development of Pharmacology.
    ","
    The Guide to Receptors and Channels has contributed to the
      development and maintenance of the intellectual infrastructure of
      pharmacology. The key tools it provides ____have influenced appropriate
      identification of lead drug targets and how best to study them and, as a
      result, it has received endorsement and financial support from the
      Pharmaceutical Industry. It is used widely as a teaching aid for
      undergraduates and research postgraduates and ____provides the general public
      with accurate information on prescription drug action. It ____led to the
      formation of the Guide to Pharmacology website in collaboration with the
      International Union of Basic and Clinical Pharmacology.
    "
3405,"
Cardiff University
","Geography, Environmental Studies and Archaeology","
Changing people's perceptions of the human:animal relationship
","
The Cardiff Osteological Research Group (CORG) has researched the complex relationship
between animals and people, across Britain, Europe and beyond. CORG has taken its research as
the basis for a programme of activities that seeks to challenge modern attitudes to animals through
archaeological studies, and to provoke reflection on the present relevance and future development
of animals. Their impact has built on relationships developed with artists and practitioners in
creative industries who have been influenced by the issues researched. By encouraging a range of
audiences to consider the economic, social, ritual and symbolic roles of animals, CORG has
enriched, informed and changed the perspectives of individuals who do not normally engage with
the archaeological past, including target groups traditionally excluded from, or not aware of,
academic research.
"
15620,"
    Royal Veterinary College
    ","Agriculture, Veterinary and Food Science","
    Giant Animals: evolution and biomechanics inspiring future science
    ","
    Professor Hutchinson's team has pursued research into movement of large
      land animals, and how
      they have evolved under biomechanical constraints, such as gravity, which
      dominate their
      lifestyles. Their findings relating to elephants and to dinosaurs,
      applying physics, maths and
      computer science to study the natural world, have captured the public's
      imagination through a
      variety of engagement activities. The work has contributed to several
      major documentaries and
      interactive museum exhibits, (with Professor Hutchinson consulting), as
      well as featuring in a
      substantial number of print and online news stories. The research has had
      practical applications in
      foot health and welfare of elephants in captivity and, through examining
      constraints of growth on
      anatomy, has also led to applications in health of broiler chickens.
    "
16710,"
    University of Cambridge
    ",Physics,"
    Mainstreaming Biological Physics in the Undergraduate Curriculum and
      Beyond
    ","
    Material has been prepared for the Institute of Physics (IOP) to
      disseminate freely to universities worldwide who wish to incorporate
      material into the undergraduate physics curriculum. Donald was invited to
      lead this project &#8212; funded by the IOP &#8212; as Project Director, on the basis
      of her research at the University of Cambridge and leadership in the
      field. Beyond oversight of the teaching material and producing one lecture
      herself, she has been active in disseminating the challenges and
      excitement of the field to a wide range of audiences beyond academics
      through talks and online. This material is being accessed worldwide by
      many different universities. Within the UK, a number of universities are
      either using the course material directly or indirectly in their lecture
      course development, or are pointing students to the website as an
      additional resource.
    "
18226,"
    University of Chester
    ","Psychology, Psychiatry and Neuroscience","
    Informing Global Improvements on the Welfare of Fish
    ","
    This research programme has provided convincing evidence that fish
      perceive pain and has been instrumental in directly informing changes to
      experimental protocols and influencing welfare guidelines.
    We use fish in a variety of ways &#8212; for food, farming, experimentation, as
      public exhibits, in recreational angling and as pets. Many of the
      procedures that fish are subjected to cause tissue damage that would give
      rise to the sensation of pain in mammals. This research programme uses
      techniques in neurobiology, physiology and animal behaviour to discover
      how the fish are affected by these procedures. This has not only improved
      the welfare of fish, but also influenced how the public views these
      animals through media dissemination.
    "
21134,"
    University of Derby
    ",Biological Sciences,"
    Public Engagement with Science
    ","
    Research conducted by the Biological Sciences Research group on sexual
      selection, using bushcrickets as model organisms, has attracted a very
      high level of media interest and ____has contributed to public engagement with
      science. Evidence for this is provided by a considerable number of review
      articles on the research in the media. There is also evidence of public
      debate through social media such as twitter, blogs, sharing of articles
      and individual comments on web articles about the research.
    "
21963,"
    University College London/Birkbeck
    ",Biological Sciences,"
    Enhancing public awareness and engagement with evolutionary cell biology
    ","
    Through the publication of three books based on his original research,
      written for a non-specialist audience, and through an extensive schedule
      of public engagement work, Dr Nick Lane (UCL Department of Genetics,
      Evolution and Environment) has enhanced public awareness of relatively
      little known areas of science (evolutionary biochemistry and cell
      biology), stimulating discussion and debate in a wide range of media. His
      books have been translated into 20 languages and have sold around 100,000
      copies since 2008. They have had significant societal impacts, such as
      ____inspiring young people to study biological sciences, raising public
      awareness of research being undertaken in this field and stimulating
      debate and interest in the subject area.
    "
23153,"
    University of Gloucestershire
    ","Geography, Environmental Studies and Archaeology","
    Ants: Life inside the colony
    ","
    This case study focuses on the impact of work underpinned by Professor
      Hart's
      entomological research and includes the major BBC and Discovery/Science
      Channel
      documentary, Planet Ant: Life inside the Colony, a children's
      version, Living on Planet Ant
      (both presented by Hart) and subsequent secondary impact through two
      Citizen Science
      projects. Together these projects ____have considerably raised public
      awareness and
      understanding of ants and their importance. Planet Ant has reached
      a domestic audience
      in excess of one million via TV, a large international TV audience, more
      than 0.6 million via
      YouTube and was widely and positively reviewed in the national press.
    Activities arising from the programme included a debate session on the
      importance of ants
      at the Cheltenham Science Festival, 10 weeks of public viewing and
      guide-led
      interpretation of the ant colony at the Glasgow Science Centre and
      national and
      international magazine articles. Planet Ant led to Hart's central
      involvement with two large
      citizen science projects run jointly between him and the UK's Society of
      Biology. Widely
      featured in the national press and radio, these ____have actively engaged more
      than 20,000
      members of the public in primary scientific research, including some 3,500
      ""super
      engagers"" who have sent on more detailed records and samples. Indeed, one
      of these
      projects has been selected by the RCUK for their Concordat anniversary
      publication as a
      case study to demonstrate the impact of public engagement.
    "
23870,"
    The University of Edinburgh
    ",Clinical Medicine,"
    V: Dolly the sheep - the first cloned mammal and a public icon for
        regenerative medicine
    ","
    Impact: ____Public engagement and education, influence on public
      ethical and scientific policy.
    Significance: The first demonstration of cloning from an adult
      mammalian somatic cell has stimulated rolling religious, ethical,
      cultural, political and scientific debates. Dolly has become a scientific
      icon entering the public and educational lexicons in addition to
      scientific ones.
    Beneficiaries: Human society, culture, education.
    Attribution: Wilmut and colleagues (Roslin Institute, UoE),
      undertook somatic cell nuclear transfer and used it to perform the first
      successful cloning of an adult mammal.
    Reach: Worldwide: Dolly became a scientific icon that is
      recognisable all around the world, representing a major public engagement
      with bioscience. For example; cloning principles are part of high school
      education including the International Baccalaureate (implemented in
      &gt;3600 schools on five continents).
    "
23895,"
    The University of Edinburgh
    ",Biological Sciences,"
    05. Patients', policy-makers', educators' and the public's
        understanding of stem cell research is increased through in-depth
        engagement.
    ","
    Impact on society, culture and creativity; health and welfare;
        practitioners: ____Extensive public engagement with a broad target
      audience has increased understanding of the hopes and hypes generated by
      stem cell research at UoE and elsewhere, and has provided resources for
      practitioners to deliver high-quality public engagement and science
      education.
    Beneficiaries: Educators, teacher trainers, science communicators,
      journalists; patients; students; officials in the European Commission, the
      European Parliament and by extension constituents.
    Significance and Reach: This programme has promoted informed
      decision-making among non-specialists and public acceptance of stem
      cell-based research and future therapies in Europe (compared for instance
      to the USA). The project is focused on Europe, but participation is
      world-wide. 767,000 unique visitors have accessed the www.eurostemcell.org
      website. The educational tools have been used by 11,000 pupils, and
      engaged 20,100 participants at festivals and science centres. More than
      740,000 individuals world-wide have viewed the films (&gt;240,000
      confirmed online, film showings and DVD; estimated &gt;500,000 TV
      audience).
    Attribution: The programme reflects a range of stem cell research,
      substantially based on underpinning research carried out at UoE led by
      Professors Austin Smith and Ian Chambers. The outreach programme is led by
      Professor Clare Blackburn. Leadership, management, content identification,
      content format, editorial input, and evaluation of the outreach programme
      are all led at the University of Edinburgh.
    "
