algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall,mean_roc_auc,mean_f1,mean_precision
NB,tc,100,"(1, 1)",clean,0.82,0.96,0.82,0.76,0.82
SVMR,tc,100,"(1, 1)",clean,0.81,0.63,0.81,0.91,0.81
SVML,tc,100,"(1, 1)",clean,0.9,0.83,0.9,0.95,0.9
LR1,tc,100,"(1, 1)",clean,0.89,0.78,0.89,0.94,0.89
LR2,tc,100,"(1, 1)",clean,0.89,0.79,0.89,0.95,0.89
RF,tc,100,"(1, 1)",clean,0.94,0.9,0.94,0.96,0.94
XGB,tc,100,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,100,"(1, 1)",clean_steeming,0.83,0.96,0.83,0.78,0.83
SVMR,tc,100,"(1, 1)",clean_steeming,0.84,0.69,0.84,0.93,0.84
SVML,tc,100,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.95,0.9
LR1,tc,100,"(1, 1)",clean_steeming,0.91,0.82,0.91,0.95,0.91
LR2,tc,100,"(1, 1)",clean_steeming,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.96,0.95
XGB,tc,100,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 1)",clean_lemmatization,0.82,0.95,0.82,0.78,0.82
SVMR,tc,100,"(1, 1)",clean_lemmatization,0.82,0.65,0.82,0.92,0.82
SVML,tc,100,"(1, 1)",clean_lemmatization,0.91,0.85,0.91,0.95,0.91
LR1,tc,100,"(1, 1)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,100,"(1, 1)",clean_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 1)",clean_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tc,100,"(1, 1)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 1)",clean_steeming_lemmatization,0.83,0.96,0.83,0.78,0.83
SVMR,tc,100,"(1, 1)",clean_steeming_lemmatization,0.85,0.71,0.85,0.93,0.85
SVML,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.95,0.9
LR1,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
LR2,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 1)",clean_steeming_lemmatization,0.94,0.91,0.94,0.96,0.94
XGB,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 2)",clean,0.8,0.95,0.8,0.74,0.8
SVMR,tc,100,"(1, 2)",clean,0.81,0.63,0.81,0.91,0.81
SVML,tc,100,"(1, 2)",clean,0.9,0.82,0.9,0.95,0.9
LR1,tc,100,"(1, 2)",clean,0.89,0.78,0.89,0.94,0.89
LR2,tc,100,"(1, 2)",clean,0.89,0.79,0.89,0.95,0.89
RF,tc,100,"(1, 2)",clean,0.93,0.89,0.93,0.96,0.93
XGB,tc,100,"(1, 2)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,100,"(1, 2)",clean_steeming,0.83,0.97,0.83,0.77,0.83
SVMR,tc,100,"(1, 2)",clean_steeming,0.85,0.7,0.85,0.93,0.85
SVML,tc,100,"(1, 2)",clean_steeming,0.91,0.84,0.91,0.95,0.91
LR1,tc,100,"(1, 2)",clean_steeming,0.91,0.82,0.91,0.95,0.91
LR2,tc,100,"(1, 2)",clean_steeming,0.9,0.82,0.9,0.95,0.9
RF,tc,100,"(1, 2)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tc,100,"(1, 2)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 2)",clean_lemmatization,0.82,0.96,0.82,0.76,0.82
SVMR,tc,100,"(1, 2)",clean_lemmatization,0.82,0.65,0.82,0.92,0.82
SVML,tc,100,"(1, 2)",clean_lemmatization,0.91,0.84,0.91,0.95,0.91
LR1,tc,100,"(1, 2)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,100,"(1, 2)",clean_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 2)",clean_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tc,100,"(1, 2)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 2)",clean_steeming_lemmatization,0.82,0.96,0.82,0.76,0.82
SVMR,tc,100,"(1, 2)",clean_steeming_lemmatization,0.85,0.71,0.85,0.93,0.85
SVML,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.95,0.9
LR1,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
LR2,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.96,0.95
XGB,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 3)",clean,0.81,0.96,0.81,0.75,0.81
SVMR,tc,100,"(1, 3)",clean,0.8,0.62,0.8,0.91,0.8
SVML,tc,100,"(1, 3)",clean,0.91,0.84,0.91,0.95,0.91
LR1,tc,100,"(1, 3)",clean,0.89,0.8,0.89,0.95,0.89
LR2,tc,100,"(1, 3)",clean,0.88,0.78,0.88,0.94,0.88
RF,tc,100,"(1, 3)",clean,0.93,0.89,0.93,0.96,0.93
XGB,tc,100,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,100,"(1, 3)",clean_steeming,0.83,0.97,0.83,0.77,0.83
SVMR,tc,100,"(1, 3)",clean_steeming,0.84,0.69,0.84,0.93,0.84
SVML,tc,100,"(1, 3)",clean_steeming,0.9,0.82,0.9,0.95,0.9
LR1,tc,100,"(1, 3)",clean_steeming,0.91,0.82,0.91,0.95,0.91
LR2,tc,100,"(1, 3)",clean_steeming,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 3)",clean_steeming,0.95,0.92,0.95,0.96,0.95
XGB,tc,100,"(1, 3)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 3)",clean_lemmatization,0.82,0.96,0.82,0.76,0.82
SVMR,tc,100,"(1, 3)",clean_lemmatization,0.82,0.65,0.82,0.92,0.82
SVML,tc,100,"(1, 3)",clean_lemmatization,0.91,0.84,0.91,0.95,0.91
LR1,tc,100,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,100,"(1, 3)",clean_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 3)",clean_lemmatization,0.95,0.92,0.95,0.96,0.95
XGB,tc,100,"(1, 3)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,100,"(1, 3)",clean_steeming_lemmatization,0.83,0.97,0.83,0.77,0.83
SVMR,tc,100,"(1, 3)",clean_steeming_lemmatization,0.85,0.71,0.85,0.93,0.85
SVML,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.83,0.9,0.95,0.9
LR1,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
LR2,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tc,100,"(1, 3)",clean_steeming_lemmatization,0.94,0.91,0.94,0.96,0.94
XGB,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,200,"(1, 1)",clean,0.87,0.94,0.87,0.85,0.87
SVMR,tc,200,"(1, 1)",clean,0.74,0.48,0.74,0.87,0.74
SVML,tc,200,"(1, 1)",clean,0.92,0.85,0.92,0.95,0.92
LR1,tc,200,"(1, 1)",clean,0.89,0.79,0.89,0.95,0.89
LR2,tc,200,"(1, 1)",clean,0.92,0.84,0.92,0.96,0.92
RF,tc,200,"(1, 1)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tc,200,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,200,"(1, 1)",clean_steeming,0.86,0.93,0.86,0.83,0.86
SVMR,tc,200,"(1, 1)",clean_steeming,0.81,0.63,0.81,0.91,0.81
SVML,tc,200,"(1, 1)",clean_steeming,0.94,0.89,0.94,0.97,0.94
LR1,tc,200,"(1, 1)",clean_steeming,0.9,0.81,0.9,0.95,0.9
LR2,tc,200,"(1, 1)",clean_steeming,0.92,0.85,0.92,0.96,0.92
RF,tc,200,"(1, 1)",clean_steeming,0.94,0.91,0.94,0.96,0.94
XGB,tc,200,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,200,"(1, 1)",clean_lemmatization,0.87,0.93,0.87,0.84,0.87
SVMR,tc,200,"(1, 1)",clean_lemmatization,0.78,0.56,0.78,0.9,0.78
SVML,tc,200,"(1, 1)",clean_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tc,200,"(1, 1)",clean_lemmatization,0.9,0.82,0.9,0.95,0.9
LR2,tc,200,"(1, 1)",clean_lemmatization,0.91,0.83,0.91,0.96,0.91
RF,tc,200,"(1, 1)",clean_lemmatization,0.95,0.93,0.95,0.97,0.95
XGB,tc,200,"(1, 1)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,200,"(1, 1)",clean_steeming_lemmatization,0.86,0.93,0.86,0.83,0.86
SVMR,tc,200,"(1, 1)",clean_steeming_lemmatization,0.81,0.62,0.81,0.91,0.81
SVML,tc,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tc,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
LR2,tc,200,"(1, 1)",clean_steeming_lemmatization,0.92,0.86,0.92,0.96,0.92
RF,tc,200,"(1, 1)",clean_steeming_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tc,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,200,"(1, 2)",clean,0.86,0.93,0.86,0.83,0.86
SVMR,tc,200,"(1, 2)",clean,0.73,0.47,0.73,0.87,0.73
SVML,tc,200,"(1, 2)",clean,0.92,0.87,0.92,0.96,0.92
