algorithm,transformation,max_features,mean_balanced_accuracy,mean_recall,mean_precision,mean_f1
NB,tc,100,0.63,0.5,0.34,0.39
SVMR,tc,100,0.5,0.0,0.0,0.0
SVML,tc,100,0.57,0.19,0.46,0.26
LR1,tc,100,0.59,0.22,0.52,0.3
LR2,tc,100,0.59,0.22,0.51,0.3
RF,tc,100,0.53,0.08,0.41,0.13
XGB,tc,100,0.52,0.04,0.28,0.07
NB,tc,200,0.58,0.72,0.23,0.35
SVMR,tc,200,0.5,0.0,0.0,0.0
SVML,tc,200,0.62,0.33,0.45,0.37
LR1,tc,200,0.6,0.26,0.51,0.33
LR2,tc,200,0.62,0.3,0.53,0.38
RF,tc,200,0.52,0.06,0.37,0.1
XGB,tc,200,0.52,0.04,0.28,0.07
NB,tc,400,0.56,0.81,0.22,0.34
SVMR,tc,400,0.5,0.0,0.0,0.0
SVML,tc,400,0.61,0.35,0.39,0.36
LR1,tc,400,0.59,0.25,0.46,0.32
LR2,tc,400,0.59,0.26,0.42,0.32
RF,tc,400,0.51,0.03,0.31,0.06
XGB,tc,400,0.52,0.04,0.28,0.07
NB,tc,500,0.54,0.68,0.21,0.31
SVMR,tc,500,0.5,0.0,0.0,0.0
SVML,tc,500,0.6,0.35,0.37,0.35
LR1,tc,500,0.59,0.27,0.45,0.33
LR2,tc,500,0.59,0.26,0.41,0.31
RF,tc,500,0.51,0.03,0.31,0.05
XGB,tc,500,0.52,0.04,0.28,0.07
NB,tc,800,0.54,0.4,0.23,0.28
SVMR,tc,800,0.5,0.0,0.0,0.0
SVML,tc,800,0.59,0.36,0.33,0.34
LR1,tc,800,0.6,0.27,0.44,0.33
LR2,tc,800,0.58,0.24,0.4,0.3
RF,tc,800,0.51,0.03,0.42,0.05
XGB,tc,800,0.52,0.04,0.28,0.07
NB,tf,100,0.56,0.56,0.23,0.32
SVMR,tf,100,0.5,0.0,0.0,0.0
SVML,tf,100,0.5,0.0,0.0,0.0
LR1,tf,100,0.54,0.09,0.56,0.16
LR2,tf,100,0.53,0.08,0.66,0.13
RF,tf,100,0.51,0.04,0.48,0.08
XGB,tf,100,0.52,0.05,0.5,0.1
NB,tf,200,0.55,0.66,0.22,0.33
SVMR,tf,200,0.5,0.0,0.0,0.0
SVML,tf,200,0.52,0.05,0.6,0.09
LR1,tf,200,0.54,0.09,0.56,0.15
LR2,tf,200,0.54,0.09,0.59,0.15
RF,tf,200,0.52,0.05,0.52,0.08
XGB,tf,200,0.51,0.03,0.35,0.06
NB,tf,400,0.55,0.7,0.21,0.32
SVMR,tf,400,0.5,0.0,0.0,0.0
SVML,tf,400,0.53,0.07,0.6,0.13
LR1,tf,400,0.54,0.09,0.64,0.15
LR2,tf,400,0.53,0.07,0.68,0.12
RF,tf,400,0.51,0.03,0.45,0.05
XGB,tf,400,0.51,0.04,0.5,0.07
NB,tf,500,0.54,0.63,0.21,0.31
SVMR,tf,500,0.5,0.0,0.0,0.0
SVML,tf,500,0.52,0.06,0.57,0.1
LR1,tf,500,0.55,0.11,0.66,0.18
LR2,tf,500,0.53,0.06,0.68,0.11
RF,tf,500,0.51,0.03,0.45,0.05
XGB,tf,500,0.52,0.05,0.67,0.08
NB,tf,800,0.54,0.4,0.23,0.28
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.54,0.09,0.58,0.14
LR1,tf,800,0.55,0.11,0.64,0.17
LR2,tf,800,0.52,0.05,0.53,0.08
RF,tf,800,0.51,0.02,0.2,0.03
XGB,tf,800,0.52,0.04,0.52,0.08
NB,tfidf,100,0.57,0.55,0.24,0.33
SVMR,tfidf,100,0.5,0.0,0.0,0.0
SVML,tfidf,100,0.5,0.0,0.0,0.0
LR1,tfidf,100,0.53,0.08,0.54,0.14
LR2,tfidf,100,0.53,0.08,0.51,0.13
RF,tfidf,100,0.52,0.05,0.42,0.08
XGB,tfidf,100,0.52,0.05,0.45,0.09
NB,tfidf,200,0.54,0.65,0.21,0.32
SVMR,tfidf,200,0.5,0.0,0.0,0.0
SVML,tfidf,200,0.53,0.08,0.56,0.14
LR1,tfidf,200,0.55,0.12,0.56,0.19
LR2,tfidf,200,0.54,0.08,0.53,0.14
RF,tfidf,200,0.53,0.06,0.51,0.1
XGB,tfidf,200,0.52,0.05,0.58,0.09
NB,tfidf,400,0.55,0.72,0.21,0.32
SVMR,tfidf,400,0.5,0.0,0.0,0.0
SVML,tfidf,400,0.54,0.09,0.65,0.15
LR1,tfidf,400,0.53,0.08,0.56,0.14
LR2,tfidf,400,0.52,0.05,0.55,0.08
RF,tfidf,400,0.52,0.05,0.48,0.09
XGB,tfidf,400,0.52,0.05,0.49,0.08
NB,tfidf,500,0.54,0.63,0.21,0.31
SVMR,tfidf,500,0.5,0.0,0.0,0.0
SVML,tfidf,500,0.55,0.11,0.59,0.18
LR1,tfidf,500,0.54,0.11,0.6,0.17
LR2,tfidf,500,0.52,0.04,0.55,0.08
RF,tfidf,500,0.52,0.04,0.53,0.08
XGB,tfidf,500,0.52,0.06,0.5,0.1
NB,tfidf,800,0.54,0.4,0.23,0.28
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.54,0.1,0.49,0.15
LR1,tfidf,800,0.54,0.1,0.6,0.16
LR2,tfidf,800,0.51,0.03,0.4,0.05
RF,tfidf,800,0.52,0.04,0.55,0.07
XGB,tfidf,800,0.52,0.05,0.55,0.09
